,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
144,Jakob Johnson,LV,RB,8.3,19.0,0.1,4.6,18.5,0.1,0.1,0.0,0.0,0,0.0,0.0
145,Adam Prentice,NO,RB,2.4,13.6,0.1,4.3,17.8,0.1,0.0,0.0,0.0,0,0.0,0.0
146,Michael Burton,DEN,RB,4.7,14.7,0.1,3.6,14.0,0.1,0.0,0.0,0.0,0,0.0,0.0
147,Jack Colletto,SF,RB,0.0,7.3,0.1,3.6,16.3,0.2,0.0,0.0,0.0,0,0.0,0.0
148,Avery Williams,ATL,RB,2.7,11.6,0.1,3.4,11.0,0.1,0.0,0.0,0.0,0,0.0,0.0
149,Keith Smith,ATL,RB,6.3,12.5,0.1,2.7,10.7,0.1,0.0,0.0,0.0,0,0.0,0.0
150,Nick Bellore,SEA,RB,4.4,9.3,0.0,2.3,15.8,0.1,0.0,0.0,0.0,0,0.0,0.0
151,Khari Blasingame,CHI,RB,2.8,9.0,0.1,2.6,8.2,0.1,0.0,0.0,0.0,0,0.0,0.0
152,Darrynton Evans,MIA,RB,6.1,17.1,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0,0.0,0.0
153,Zander Horvath,PIT,RB,0.0,1.5,0.0,2.9,4.6,0.1,0.0,0.0,0.0,0,0.0,0.0
154,Nick Bawden,NYJ,RB,0.0,1.1,0.0,2.9,4.6,0.1,0.0,0.0,0.0,0,0.0,0.0
155,Jake Funk,IND,RB,0.0,3.4,0.0,0.3,3.6,0.0,0.0,0.0,0.0,0,0.0,0.0
156,La'Mical Perine,KC,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
157,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
158,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Justin Jefferson,MIN,WR,3.8,19.4,0.3,111.3,"1,538.9",8.2,0.3,0.0,0.0,0,0.0,0.0
2,Ja'Marr Chase,CIN,WR,5.0,24.1,0.1,105.6,"1,397.1",10.3,1.1,0.0,0.0,0,0.0,0.0
3,Tyreek Hill,MIA,WR,9.3,55.5,0.5,106.3,"1,403.7",8.0,0.4,0.0,0.0,0,0.0,0.0
4,CeeDee Lamb,DAL,WR,8.9,56.7,0.3,99.5,"1,313.9",7.9,0.3,0.0,0.0,0,0.0,0.0
5,Cooper Kupp,LAR,WR,8.0,73.2,0.8,103.1,"1,275.5",7.8,0.8,0.0,0.0,0,0.0,0.0
6,Davante Adams,LV,WR,1.8,7.7,0.1,94.2,"1,276.4",8.6,0.3,0.0,0.0,0,0.0,0.0
7,Stefon Diggs,BUF,WR,0.6,3.4,0.0,97.1,"1,282.6",8.5,0.4,0.0,0.0,0,0.0,0.0
8,A.J. Brown,PHI,WR,0.3,4.2,0.1,78.0,"1,213.3",8.5,0.6,0.0,0.0,0,0.0,0.0
9,Jaylen Waddle,MIA,WR,4.1,34.3,0.2,80.6,"1,176.7",6.6,0.7,0.0,0.0,0,0.0,0.0
10,Amon-Ra St. Brown,DET,WR,8.2,64.2,0.5,101.3,"1,156.4",5.8,0.2,0.0,0.0,0,0.0,0.0
11,Garrett Wilson,NYJ,WR,2.5,6.4,0.0,85.3,"1,176.5",6.8,0.8,0.0,0.0,0,0.0,0.0
12,Deebo Samuel,SF,WR,42.5,251.2,2.4,68.5,892.8,4.1,1.4,0.0,0.0,0,0.0,0.0
13,Chris Olave,NO,WR,0.0,0.1,0.0,83.0,"1,176.1",5.9,1.3,0.0,0.0,0,0.0,0.0
14,Tee Higgins,CIN,WR,0.5,2.5,0.0,80.4,"1,086.1",6.7,0.3,0.0,0.0,0,0.0,0.0
15,Christian Watson,GB,WR,8.6,69.6,1.0,69.4,971.2,6.3,0.2,0.0,0.0,0,0.0,0.0
16,Amari Cooper,CLE,WR,0.5,1.6,0.0,73.1,"1,031.7",7.2,0.1,0.0,0.0,0,0.0,0.0
17,DK Metcalf,SEA,WR,0.1,1.1,0.0,83.0,"1,031.4",7.3,0.8,0.0,0.0,0,0.0,0.0
18,DeVonta Smith,PHI,WR,0.0,0.1,0.0,83.3,"1,058.8",6.4,0.6,0.0,0.0,0,0.0,0.0
19,Calvin Ridley,JAC,WR,2.3,7.8,0.0,80.7,"1,028.9",6.6,0.5,0.0,0.0,0,0.0,0.0
20,DJ Moore,CHI,WR,6.0,37.1,0.1,67.5,955.6,6.6,0.3,0.0,0.0,0,0.0,0.0
21,Mike Williams,LAC,WR,1.0,4.5,0.0,70.5,986.0,6.1,0.1,0.0,0.0,0,0.0,0.0
22,Mike Evans,TB,WR,0.0,6.8,0.0,71.2,997.9,5.8,0.1,0.0,0.0,0,0.0,0.0
23,Keenan Allen,LAC,WR,1.3,7.5,0.0,90.9,"1,008.1",5.8,0.7,0.0,0.0,0,0.0,0.0
24,Terry McLaurin,WAS,WR,3.3,20.2,0.1,72.2,"1,015.8",4.8,0.2,0.0,0.0,0,0.0,0.0
25,Christian Kirk,JAC,WR,3.5,21.2,0.1,74.2,923.6,5.9,0.5,0.0,0.0,0,0.0,0.0
26,DeAndre Hopkins,TEN,WR,0.1,1.1,0.0,77.8,981.3,5.3,0.7,0.0,0.0,0,0.0,0.0
27,Tyler Lockett,SEA,WR,0.2,0.7,0.0,76.3,915.0,5.9,0.6,0.0,0.0,0,0.0,0.0
28,Brandon Aiyuk,SF,WR,2.7,18.6,0.2,65.5,906.6,5.5,0.6,0.0,0.0,0,0.0,0.0
29,Jerry Jeudy,DEN,WR,1.5,14.2,0.0,66.4,952.0,4.7,0.2,0.0,0.0,0,0.0,0.0
30,Drake London,ATL,WR,0.0,0.1,0.0,75.8,939.0,5.5,1.8,0.0,0.0,0,0.0,0.0
31,Jahan Dotson,WAS,WR,3.0,10.8,0.1,60.4,849.7,6.1,0.2,0.0,0.0,0,0.0,0.0
32,Chris Godwin,TB,WR,2.7,13.4,0.1,89.6,972.2,4.1,0.7,0.0,0.0,0,0.0,0.0
33,George Pickens,PIT,WR,2.8,18.1,0.4,57.7,856.4,5.3,0.2,0.0,0.0,0,0.0,0.0
34,Gabe Davis,BUF,WR,0.1,0.7,0.0,51.6,827.0,6.5,0.4,0.0,0.0,0,0.0,0.0
35,Diontae Johnson,PIT,WR,4.5,25.6,0.0,81.0,923.3,4.3,0.5,0.0,0.0,0,0.0,0.0
36,Marquise Brown,ARI,WR,1.4,8.5,0.0,76.5,903.7,4.7,0.3,0.0,0.0,0,0.0,0.0
37,Michael Pittman Jr.,IND,WR,2.4,22.0,0.0,77.5,883.5,4.2,0.6,0.0,0.0,0,0.0,0.0
38,Brandin Cooks,DAL,WR,3.0,19.5,0.1,62.4,822.6,4.8,0.1,0.0,0.0,0,0.0,0.0
39,Jordan Addison,MIN,WR,2.5,14.0,0.1,60.5,810.7,5.0,0.7,0.0,0.0,0,0.0,0.0
40,Courtland Sutton,DEN,WR,0.5,2.7,0.0,62.4,840.8,4.4,0.1,0.0,0.0,0,0.0,0.0
41,Treylon Burks,TEN,WR,6.9,53.0,0.1,58.1,791.9,4.0,0.2,0.0,0.0,0,0.0,0.0
42,Zay Flowers,BAL,WR,2.1,14.9,0.1,55.0,752.6,4.8,0.7,0.0,0.0,0,0.0,0.0
43,Michael Thomas,NO,WR,0.3,1.1,0.0,67.5,771.4,4.5,0.2,0.0,0.0,0,0.0,0.0
44,Jaxon Smith-Njigba,SEA,WR,1.2,8.6,0.0,56.2,766.1,4.5,0.7,0.0,0.0,0,0.0,0.0
45,JuJu Smith-Schuster,NE,WR,0.2,1.0,0.1,72.8,802.8,3.9,0.7,0.0,0.0,0,0.0,0.0
46,Nico Collins,HOU,WR,0.0,0.2,0.0,57.4,724.1,4.5,0.1,0.0,0.0,0,0.0,0.0
47,Allen Lazard,NYJ,WR,2.1,12.4,0.0,54.6,690.0,4.7,0.1,0.0,0.0,0,0.0,0.0
48,Jakobi Meyers,LV,WR,1.1,3.7,0.0,62.6,752.0,3.9,0.7,0.0,0.0,0,0.0,0.0
49,Odell Beckham Jr.,BAL,WR,1.6,19.0,0.2,51.2,675.3,4.4,0.2,0.0,0.0,0,0.0,0.0
50,Skyy Moore,KC,WR,5.6,34.8,0.2,57.1,704.2,4.3,2.1,0.0,0.0,0,0.0,0.0
51,Tyler Boyd,CIN,WR,1.5,8.9,0.0,58.0,712.4,3.9,0.2,0.0,0.0,0,0.0,0.0
52,DJ Chark Jr.,CAR,WR,0.1,1.4,0.0,46.6,718.9,3.9,0.1,0.0,0.0,0,0.0,0.0
53,Michael Gallup,DAL,WR,0.0,0.2,0.0,50.1,662.3,4.6,0.1,0.0,0.0,0,0.0,0.0
54,Darnell Mooney,CHI,WR,2.0,9.9,0.1,52.8,672.3,4.0,0.1,0.0,0.0,0,0.0,0.0
55,Zay Jones,JAC,WR,1.9,8.5,0.0,61.3,675.2,4.0,0.2,0.0,0.0,0,0.0,0.0
56,Marquez Valdes-Scantling,KC,WR,0.7,1.9,0.0,42.0,675.3,4.0,0.1,0.0,0.0,0,0.0,0.0
