"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Gary Brightwell","NYG","24.0","113.6","0.8","5.0","30.5","0.1","0.1","19.8"
"Israel Abanikanda","NYJ","50.1","131.0","0.4","1.5","39.2","0.0","0.1","19.3"
"Brandon Bolden","LV","18.3","78.6","0.5","7.4","61.7","0.4","0.1","19.2"
"D'Ernest Johnson","JAC","30.5","125.9","0.4","4.8","36.1","0.1","0.0","19.1"
"Travis Homer","CHI","18.0","92.6","0.3","7.5","67.3","0.2","0.1","18.8"
"Emanuel Wilson","GB","25.9","101.2","0.5","7.7","36.8","0.1","0.1","17.2"
"Kenny McIntosh","SEA","34.4","100.9","0.5","3.0","33.2","0.0","0.1","16.2"
"Jason Huntley","IND","0.0","78.9","0.5","4.7","42.5","0.2","0.1","15.7"
"Deneric Prince","KC","35.1","113.6","0.0","0.0","42.1","0.0","0.2","15.2"
"Ty Montgomery II","NE","12.5","37.5","0.2","8.7","74.2","0.3","0.0","14.0"
"Keaton Mitchell","BAL","26.6","81.7","0.4","2.9","24.6","0.1","0.1","13.0"
"Ty Johnson","BUF","10.0","49.6","0.2","8.3","54.4","0.3","0.1","13.0"
"Snoop Conner","JAC","12.2","89.9","0.5","2.2","7.6","0.1","0.1","12.9"
"Kene Nwangwu","MIN","27.4","75.9","0.2","3.8","32.2","0.1","0.1","12.5"
"Alec Ingold","MIA","5.2","14.0","0.1","12.0","75.8","0.4","0.0","12.2"
"Elijah Dotson","LAC","17.3","63.7","0.4","4.5","24.4","0.1","0.1","11.3"
"C.J. Ham","MIN","5.5","15.7","0.3","9.6","62.1","0.2","0.0","11.0"
"Kirk Merritt","NO","9.1","38.6","0.3","4.1","31.5","0.2","0.1","9.5"
"Hunter Luepke","DAL","9.0","32.4","0.4","7.4","31.4","0.1","0.0","9.4"
"Royce Freeman","LAR","0.0","57.7","0.3","4.2","14.4","0.1","0.1","9.4"
"Demetric Felton Jr.","CIN","10.3","38.2","0.1","5.8","35.6","0.1","0.1","8.9"
"Andrew Beck","HOU","0.0","0.0","0.0","7.8","64.3","0.4","0.0","8.7"
"Ronnie Rivers","LAR","14.3","45.3","0.1","4.4","28.2","0.1","0.1","8.7"
"Jason Cabinda","DET","9.1","22.4","0.2","4.4","33.3","0.3","0.0","8.2"
"Godwin Igwebuike","ATL","0.0","7.8","0.1","6.6","47.3","0.2","0.0","7.4"
"Patrick Ricard","BAL","5.5","15.9","0.1","7.3","41.1","0.3","0.4","7.3"
"Giovanni Ricci","CAR","4.7","19.7","0.2","4.1","30.0","0.2","0.0","7.0"
"Patrick Taylor Jr.","GB","0.0","38.2","0.3","2.1","6.1","0.1","0.0","6.6"
"Chris Brooks","MIA","15.0","42.8","0.1","2.0","14.3","0.0","0.1","6.6"
"Reggie Gilliam","BUF","2.2","9.3","0.1","9.0","32.8","0.3","0.0","6.3"
"Tony Jones Jr.","NO","17.8","37.3","0.0","0.0","12.3","0.0","0.0","5.0"
"Henry Pearson","GB","0.0","13.1","0.1","3.7","16.4","0.2","0.0","4.9"
"Jakob Johnson","LV","8.3","19.0","0.1","4.6","18.5","0.1","0.1","4.7"
"Adam Prentice","NO","2.4","13.6","0.1","4.3","17.8","0.1","0.0","4.5"
"Michael Burton","DEN","4.7","14.7","0.1","3.6","14.0","0.1","0.0","4.2"
"Jack Colletto","SF","0.0","7.3","0.1","3.6","16.3","0.2","0.0","3.9"
"Avery Williams","ATL","2.7","11.6","0.1","3.4","11.0","0.1","0.0","3.3"
"Keith Smith","ATL","6.3","12.5","0.1","2.7","10.7","0.1","0.0","3.2"
"Nick Bellore","SEA","4.4","9.3","0.0","2.3","15.8","0.1","0.0","3.1"
"Khari Blasingame","CHI","2.8","9.0","0.1","2.6","8.2","0.1","0.0","2.7"
"Darrynton Evans","MIA","6.1","17.1","0.0","0.0","5.9","0.0","0.0","2.3"
"Zander Horvath","PIT","0.0","1.5","0.0","2.9","4.6","0.1","0.0","1.2"
"Nick Bawden","NYJ","0.0","1.1","0.0","2.9","4.6","0.1","0.0","1.2"
"Jake Funk","IND","0.0","3.4","0.0","0.3","3.6","0.0","0.0","1.0"
"La'Mical Perine","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
